date,close,high,low
2023-07-18,17608.32,17671.13,17512.01
2023-07-19,17578.67,17624.23,17530.52
2023-07-24,17550.23,17725.14,17528.75
2023-07-25,17479.94,17760.37,17441.68
2023-07-26,17396.24,17549.11,17396.24
2023-07-27,17339.06,17421.9,17304.99
2023-07-30,17554.56,17617.24,17334.46
2023-07-31,17595.92,17630.12,17522.57
2023-08-01,17514.11,17663.59,17499.71
2023-08-02,17455.6,17610.41,17428.1
2023-08-03,17451.44,17507.87,17380.89
2023-08-06,17697.49,17708.06,17451.44
2023-08-07,17839.48,17865.34,17697.49
2023-08-08,17748.89,17937.62,17748.89
2023-08-09,17763.63,17910.88,17746.3
2023-08-10,17710.2,17813.07,17693.31
2023-08-13,17856.07,17856.75,17710.2
2023-08-14,17897.5,18066.56,17856.07
2023-08-15,17965.32,17977.61,17885.44
